PDB_ID	Receptor_Uniprot_AC	Receptor_Gene_name	Receptor_Uniprot_ID	Receptor_Chain	Gprotein_Uniprot_AC	Gprotein_Gene_name	Gprotein_Uniprot_ID	Gprotein_chain	Receptor_organism	Gprotein_organism	Contacts	Receptor_residues	Gprotein_residues	Receptor_coverage	Gprotein_coverage	Resolution
7eb2	O75899	GABBR2	GABR2_HUMAN	D	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	37	680	352	0.722635494	0.994350282	3.5
6x18	P43220	GLP1R	GLP1R_HUMAN	R	P63092	GNAS	GNAS2_HUMAN	A	HUMAN	HUMAN	49	384	355	0.82937365	0.901015228	2.1
3sn6	P07550	ADRB2	ADRB2_HUMAN	R	P04896	GNAS	GNAS2_BOVIN	A	HUMAN	BOVIN	61	284	349	0.687651332	0.885786802	3.2
6lfo	P25025	CXCR2	CXCR2_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	69	307	230	0.852777778	0.649717514	3.4
7tuz	P32249	GPR183	GP183_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	59	284	227	0.786703601	0.641242938	3.12
7ew1	Q9H228	S1PR5	S1PR5_HUMAN	A	P63096	GNAI1	GNAI1_HUMAN	D	HUMAN	HUMAN	56	269	227	0.675879397	0.641242938	3.4
7vkt	Q15722	LTB4R	LT4R1_HUMAN	A	P63096	GNAI1	GNAI1_HUMAN	B	HUMAN	HUMAN	53	287	227	0.815340909	0.641242938	2.9
7ew3	Q99500	S1PR3	S1PR3_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	76	290	226	0.767195767	0.638418079	3.1
6kpg	P21554	CNR1	CNR1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	62	285	225	0.603813559	0.63559322	3.0
7cmv	P35462	DRD3	DRD3_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	53	272	225	0.68	0.63559322	2.7
7wq3	P47211	GALR1	GALR1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	69	289	225	0.828080229	0.63559322	2.7
7vgx	P25929	NPY1R	NPY1R_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	38	280	224	0.729166667	0.632768362	3.2
7jvr	P14416	DRD2	DRD2_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	60	269	224	0.607223476	0.632768362	2.8
6lml	P47871	GCGR	GLR_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	28	395	224	0.828092243	0.632768362	3.9
7e9h	Q14833	GRM4	GRM4_HUMAN	R	P08754	GNAI3	GNAI3_HUMAN	A	HUMAN	HUMAN	48	766	223	0.839912281	0.629943503	4.0
7td4	P21453	S1PR1	S1PR1_HUMAN	R	B2RSH2	GNAI1	GNAI1_MOUSE	A	HUMAN	MOUSE	65	290	222	0.759162304	0.627118644	2.6
7t6u	P25090	FPR2	FPR2_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	69	299	219	0.851851852	0.618644068	2.9
7exd	P30939	HTR1F	5HT1F_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	50	272	219	0.743169399	0.618644068	3.4
7e32	P28221	HTR1D	5HT1D_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	83	285	219	0.75596817	0.618644068	2.9
7e2y	P08908	HTR1A	5HT1A_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	60	276	219	0.654028436	0.618644068	3.0
7vgy	P48039	MTNR1A	MTR1A_HUMAN	A	P63096	GNAI1	GNAI1_HUMAN	B	HUMAN	HUMAN	46	281	218	0.802857143	0.615819209	3.1
7s8m	Q96LB1	MRGPRX2	MRGX2_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	B	HUMAN	HUMAN	60	253	218	0.766666667	0.615819209	2.54
7td0	Q92633	LPAR1	LPAR1_HUMAN	R	B2RSH2	GNAI1	GNAI1_MOUSE	A	HUMAN	MOUSE	63	290	218	0.796703297	0.615819209	2.83
7euo	P21462	FPR1	FPR1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	49	295	218	0.842857143	0.615819209	2.9
7vug	Q6DWJ6	GPR139	GP139_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	66	282	218	0.798866856	0.615819209	3.2
7x9b	P49146	NPY2R	NPY2R_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	68	302	218	0.792650919	0.615819209	3.4
6kpf	P34972	CNR2	CNR2_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	74	290	218	0.805555556	0.615819209	2.9
7v69	P08173	CHRM4	ACM4_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	47	277	218	0.5782881	0.615819209	3.4
7t10	P30874	SSTR2	SSR2_HUMAN	R	P08754	GNAI3	GNAI3_HUMAN	A	HUMAN	HUMAN	60	272	218	0.737127371	0.615819209	2.5
6os9	P30989	NTSR1	NTR1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	78	306	218	0.732057416	0.615819209	3.0
6k42	P18089	ADRA2B	ADA2B_HUMAN	R	P63097	GNAI1	GNAI1_BOVIN	A	HUMAN	BOVIN	62	270	218	0.6	0.615819209	4.1
7vl9	P32246	CCR1	CCR1_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	55	302	218	0.850704225	0.615819209	2.6
7na7	Q92847	GHSR	GHSR_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	54	291	217	0.795081967	0.61299435	2.7
7sqo	O43614	HCRTR2	OX2R_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	49	270	217	0.608108108	0.61299435	3.17
7e33	P28566	HTR1E	5HT1E_HUMAN	R	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	54	257	217	0.704109589	0.61299435	2.9
7ezh	P32238	CCKAR	CCKAR_HUMAN	D	P63096	GNAI1	GNAI1_HUMAN	A	HUMAN	HUMAN	63	296	217	0.691588785	0.61299435	3.2
7sbf	P42866	OPRM1	OPRM_MOUSE	R	P63096	GNAI1	GNAI1_HUMAN	A	MOUSE	HUMAN	63	273	217	0.685929648	0.61299435	2.9
