struct	num_cont_gs	num_cont_gio	num_cont_gq11
ICL2	145.0	111.0	47.0
TM4	24.0	33.0	4.0
ICL3	50.0	36.0	15.0
TM5	275.0	83.0	28.0
TM3	96.0	39.0	24.0
H8	46.0	32.0	17.0
TM6	144.0	129.0	23.0
TM7	29.0	21.0	8.0
TM2	33.0	31.0	13.0
ICL1	10.0	18.0	0.0
TM1	5.0	0.0	0.0
HN	41.0	33.0	12.0
hns1	26.0	40.0	7.0
S1	6.0	11.0	1.0
s2s3	8.0	18.0	6.0
S3	8.0	14.0	5.0
H4	88.0	11.0	3.0
h4s6	78.0	42.0	11.0
H5	408.0	351.0	126.0
s6h5	21.0	0.0	0.0
hfs2	17.0	0.0	0.0
S6	40.0	14.0	7.0
HG	18.0	0.0	0.0
HF	18.0	0.0	0.0
hbhc	1.0	0.0	0.0
h2s4	12.0	7.0	0.0
S4	21.0	0.0	0.0
H2	13.0	0.0	0.0
h1ha	2.0	0.0	0.0
S2	5.0	0.0	1.0
HE	4.0	0.0	0.0
hdhe	8.0	0.0	0.0
hehf	2.0	0.0	0.0
HD	3.0	0.0	0.0
hgh4	7.0	0.0	0.0
S5	2.0	1.0	0.0
ECL2	0.0	5.0	0.0
Cterm	0.0	11.0	1.0
H3	0.0	5.0	1.0
h3s5	0.0	2.0	0.0
