SS1	SS2	cont_gs	fraction_gs
ICL2	HN	13	0.25166666666666665
TM4	HN	9	0.2388888888888889
ICL2	hns1	14	0.596551724137931
ICL2	S1	13	0.42857142857142855
ICL2	s2s3	13	0.4469135802469136
ICL2	S3	14	0.5533333333333333
ICL3	H4	6	0.13214285714285715
ICL3	h4s6	5	0.20909090909090908
TM5	h4s6	11	0.2074074074074074
ICL2	H5	14	0.4163355408388521
TM5	H5	13	0.2814102564102564
TM3	H5	15	0.4026365348399247
H8	H5	14	0.2633333333333333
TM6	H5	15	0.3112262521588946
TM7	H5	13	0.2186046511627907
ICL2	s6h5	6	0.18888888888888888
ICL2	hfs2	2	0.10303030303030303
ICL2	S6	2	0.06666666666666667
TM5	s6h5	3	0.08333333333333333
TM5	H4	9	0.10649350649350649
ICL3	HG	1	0.06666666666666667
TM3	s6h5	3	0.08333333333333333
TM3	S6	1	0.06666666666666667
ICL2	HF	2	0.06666666666666667
ICL2	h4s6	2	0.06666666666666667
TM5	S6	6	0.11666666666666667
ICL2	hbhc	1	0.06666666666666667
TM2	H5	9	0.2628930817610063
TM4	hns1	5	0.22666666666666666
TM3	h2s4	1	0.06666666666666667
TM3	S4	1	0.06666666666666667
TM3	H2	1	0.06666666666666667
ICL2	H2	1	0.06666666666666667
ICL2	h2s4	1	0.06666666666666667
ICL2	h1ha	1	0.06666666666666667
TM5	S4	1	0.06666666666666667
TM5	H2	1	0.06666666666666667
TM5	h2s4	1	0.06666666666666667
TM5	S2	1	0.06666666666666667
TM5	HE	1	0.06666666666666667
TM5	HF	1	0.06666666666666667
TM5	hfs2	1	0.06666666666666667
TM5	hdhe	1	0.06666666666666667
TM5	hehf	1	0.06666666666666667
TM5	HD	1	0.06666666666666667
TM6	S4	1	0.06666666666666667
H8	h2s4	1	0.06666666666666667
H8	S4	1	0.06666666666666667
TM2	hns1	2	0.1
TM5	hgh4	2	0.06666666666666667
TM7	S4	1	0.06666666666666667
ICL1	HN	2	0.06666666666666667
TM5	HG	1	0.06666666666666667
TM6	h4s6	4	0.09898989898989899
ICL3	S5	1	0.06666666666666667
ICL2	H4	1	0.06666666666666667
TM3	h4s6	1	0.06666666666666667
H8	h4s6	1	0.06666666666666667
TM2	h4s6	1	0.06666666666666667
TM6	S6	1	0.06666666666666667
H8	S6	1	0.06666666666666667
TM7	S6	1	0.06666666666666667
ICL3	H5	2	0.06666666666666667
TM6	H4	2	0.06666666666666667
TM6	hgh4	1	0.06666666666666667
ICL2	S2	1	0.06666666666666667
TM6	s6h5	1	0.06666666666666667
ICL1	H5	2	0.06666666666666667
ICL3	hgh4	1	0.06666666666666667
TM3	HN	1	0.06666666666666667
TM3	hns1	1	0.06666666666666667
TM3	S1	1	0.06666666666666667
TM3	hfs2	1	0.06666666666666667
ICL3	S6	1	0.06666666666666667
TM1	HN	1	0.06666666666666667
TM1	hns1	1	0.06666666666666667
ICL1	hns1	1	0.06666666666666667
TM2	h2s4	1	0.06666666666666667
TM1	H5	1	0.06666666666666667
