6fuf 	 7cfn 	 8.588443305775616
7ew1 	 7vuh 	 8.12736410584808
6g79 	 7cz5 	 7.846932772209042
6nbf 	 7ew3 	 5.930152808318331
6os9 	 7e32 	 5.526687189035182
7euo 	 7ld3 	 6.222537901605847
6xbm 	 7p02 	 12.874395366848157
6k42 	 7cfn 	 8.903782121328634
7cfn 	 7cx2 	 5.064147563908969
6nbf 	 7jvp 	 4.591857160342598
6pb1 	 7sbf 	 7.950232852890772
6vn7 	 7wq3 	 10.23238976539954
7evw 	 7vuh 	 7.8529207814893445
7f16 	 7vug 	 10.736567848253754
6wwz 	 7f8w 	 6.2619499474282945
3sn6 	 6uva 	 5.250529762733647
7e33 	 7ew1 	 6.016458275621271
6kpf 	 7ew1 	 3.5802810641333105
6vn7 	 7wu5 	 4.043697305866957
7sqo 	 7wu5 	 7.956087973814615
7dfl 	 7vl9 	 5.82848355642283
7ew3 	 7f16 	 7.441607844248514
7piu 	 7vqx 	 7.042019530113503
6kpg 	 7f16 	 9.682716206101134
6oya 	 7td4 	 6.864999730510788
7cx2 	 7dty 	 8.637164380924647
3sn6 	 7tuz 	 12.716165245906407
7ej8 	 7na7 	 4.820395646905795
7ej8 	 7f16 	 9.160326213330801
3sn6 	 7w2z 	 8.004163266292151
6pb1 	 6xbm 	 17.08946819362482
6pb1 	 7e33 	 6.9726473749165425
6qno 	 6wzg 	 9.092075482998458
6pb1 	 7wq3 	 9.414479853780843
7sqo 	 7w2z 	 6.414900649268734
6oik 	 7mts 	 16.45830703067958
6g79 	 6oij 	 6.04763549146406
6kpg 	 7vqx 	 9.924141118072818
6qno 	 7tyf 	 9.84985040248779
3sn6 	 7cx2 	 5.769737994756735
6os9 	 7mts 	 13.434444500802364
7d7m 	 7sqo 	 5.28073958606275
7dfl 	 7td0 	 9.106754189587784
6k41 	 7td0 	 8.105684826716061
7cx2 	 7t6u 	 7.690778445483368
6wwz 	 7jvp 	 5.764719430100962
7f4h 	 7x9b 	 9.348094856247783
6fuf 	 7piu 	 6.919938717086659
6xbm 	 7e2y 	 14.315620047983169
7f8v 	 7sqo 	 1.9415609917651115
7na7 	 7t10 	 8.096384069715336
6nbf 	 7e9h 	 17.06543126403287
7dty 	 7piu 	 7.8574501574203754
6oik 	 6p9y 	 6.639914245732611
6oya 	 7w2z 	 4.764665203895058
6p9y 	 7wuq 	 2.549393767278555
7t6u 	 7x9b 	 5.766366798674677
6kpg 	 6vn7 	 9.472515695549443
6lfo 	 6wzg 	 7.123358088055486
6oij 	 6p9x 	 78.72497912329328
6k42 	 7e2y 	 3.8526446588926246
6lfo 	 6li3 	 5.752013100104697
6li3 	 7eb2 	 18.319065776796766
7e9h 	 7p02 	 9.461064923867411
6pb1 	 7d7m 	 6.906677304476119
6kpf 	 7vug 	 5.8506288118639835
7ezm 	 7tyf 	 11.004012956323699
7f8v 	 7wu5 	 9.680335285509107
6oya 	 7cmv 	 3.7646542705060613
6pb1 	 7f8w 	 8.230521490969462
7dty 	 7ew1 	 8.553720428806976
7d7m 	 7piu 	 5.947026272987937
3sn6 	 7vuh 	 5.261326671151215
7v69 	 7vl9 	 2.8673206618335834
6nbf 	 7e32 	 8.724814168219588
7ejx 	 7td4 	 21.99899098558115
6qno 	 7sbf 	 6.711188783399659
6lml 	 7sbf 	 7.882995701469314
6qno 	 7t6u 	 5.55099779132647
7mts 	 7sbf 	 12.402707302742414
