Gene	Gs	Gio	G1213	Gq11	ID
HTR1A	0	1	0	1	0101
HTR1B	0	1	0	0	0100
HTR1D	0	1	0	0	0100
HTR1E	0	1	0	0	0100
HTR1F	0	1	0	0	0100
HTR2A	0	1	0	1	0101
HTR2B	0	1	0	1	0101
HTR2C	0	1	1	1	0111
HTR4	1	0	1	0	1010
HTR6	1	0	0	0	1000
HTR7	1	0	0	0	1000
ADORA1	1	1	1	1	1111
ADORA2A	1	0	0	1	1001
ADORA2B	1	0	0	1	1001
ADORA3	0	1	0	0	0100
CHRM1	1	1	0	1	1101
CHRM2	1	1	0	1	1101
CHRM3	0	1	0	1	0101
CHRM4	0	1	0	1	0101
CHRM5	0	0	0	1	0001
ADRA1A	1	1	1	1	1111
ADRA1B	0	0	0	1	0001
ADRA1D	0	0	0	1	0001
ADRA2A	1	1	1	1	1111
ADRA2B	1	1	0	1	1101
ADRA2C	0	1	0	0	0100
ADRB1	1	1	1	1	1111
ADRB2	1	0	0	0	1000
ADRB3	1	0	0	0	1000
AGTR1	0	1	1	1	0111
APLNR	0	1	1	0	0110
BDKRB1	0	1	0	1	0101
BDKRB2	1	1	1	1	1111
C5AR1	0	1	0	1	0101
CALCR	1	0	0	1	1001
CCKAR	1	1	1	1	1111
CCR5	0	1	0	0	0100
CCR6	0	1	0	0	0100
CYSLTR1	0	1	0	1	0101
CYSLTR2	0	1	1	1	0111
CNR1	0	1	1	1	0111
CNR2	0	1	0	0	0100
CRHR1	1	0	0	1	1001
CRHR2	1	0	0	1	1001
CXCR2	0	1	0	0	0100
CXCR4	0	1	0	0	0100
CXCR5	0	1	0	0	0100
DRD1	1	1	0	0	1100
DRD2	0	1	0	0	0100
DRD3	0	1	0	0	0100
DRD4	0	1	0	0	0100
DRD5	1	1	0	0	1100
EDNRA	1	1	1	1	1111
EDNRB	1	1	0	1	1101
FFAR1	1	1	0	1	1101
FFAR2	0	1	0	1	0101
FFAR3	0	1	1	0	0110
FFAR4	0	1	1	1	0111
FPR1	0	1	0	0	0100
FPR2	0	1	0	1	0101
GALR1	0	1	0	0	0100
GALR2	0	1	1	1	0111
GALR3	0	1	0	0	0100
CCKBR	0	0	0	1	0001
GHSR	0	1	1	1	0111
GIPR	1	0	0	0	1000
GLP1R	1	0	0	0	1000
GLP2R	1	0	0	0	1000
GCGR	1	0	0	0	1000
GNRHR	0	1	0	1	0101
GPR119	1	0	0	0	1000
GPR183	0	1	1	0	0110
GPBAR1	1	0	0	0	1000
GPR17	0	1	0	1	0101
GPR34	0	1	0	0	0100
GPR39	0	0	1	1	0011
GPR4	1	1	0	1	1101
GPR55	0	0	1	0	0010
GPR84	0	1	0	0	0100
GRM2	0	1	0	0	0100
GRM4	0	1	0	0	0100
GRM6	0	1	0	0	0100
GRM8	0	1	0	0	0100
GRPR	0	0	0	1	0001
HCAR2	0	1	0	0	0100
HCAR3	0	1	0	0	0100
HRH1	1	1	1	1	1111
HRH2	1	1	0	1	1101
HRH3	0	1	0	0	0100
HRH4	0	1	0	0	0100
KISS1R	0	0	0	1	0001
LPAR1	0	1	1	1	0111
LPAR2	0	1	1	1	0111
LPAR3	0	1	0	1	0101
LPAR4	1	1	1	1	1111
LPAR6	1	1	1	0	1110
LTB4R	0	1	1	1	0111
LTB4R2	0	1	0	1	0101
MC3R	1	1	0	0	1100
MC4R	1	1	0	0	1100
MC5R	1	0	0	0	1000
MCHR1	1	1	0	1	1101
MCHR2	0	0	0	1	0001
MRGPRX1	0	0	0	1	0001
MRGPRX2	0	1	0	1	0101
MLNR	0	0	1	1	0011
MTNR1A	0	1	0	1	0101
MTNR1B	0	1	0	0	0100
TACR1	1	0	0	1	1001
TACR2	1	0	0	1	1001
TACR3	0	0	0	1	0001
NMBR	0	0	0	1	0001
NMUR1	0	0	0	1	0001
NMUR2	0	0	0	1	0001
NPBWR1	0	1	0	0	0100
NPFFR1	0	1	0	0	0100
NPFFR2	0	1	0	0	0100
NPY1R	0	1	0	0	0100
NPY5R	0	1	0	0	0100
NTSR1	1	1	0	1	1101
GPR68	0	1	0	1	0101
OPRD1	0	1	0	1	0101
OPRK1	0	1	1	0	0110
OPRM1	0	1	0	1	0101
OPRL1	0	1	0	1	0101
HCRTR1	1	1	0	1	1101
HCRTR2	1	1	1	1	1111
OXGR1	0	0	0	1	0001
OXTR	0	1	0	1	0101
P2RY1	0	0	0	1	0001
P2RY2	0	1	0	1	0101
P2RY4	0	0	0	1	0001
P2RY11	1	0	0	1	1001
P2RY13	0	1	0	0	0100
P2RY14	0	1	0	0	0100
ADCYAP1R1	1	0	0	1	1001
F2R	0	1	1	1	0111
F2RL1	0	1	1	1	0111
PTGDR	1	0	0	0	1000
PTGER1	0	1	1	1	0111
PTGER2	1	0	0	0	1000
PTGER3	0	1	1	1	0111
PTGER4	1	1	0	0	1100
PTGFR	1	1	1	1	1111
PTGIR	1	0	0	1	1001
GPR65	1	0	0	0	1000
PTAFR	0	1	0	1	0101
PTH1R	1	0	0	1	1001
S1PR1	0	1	1	0	0110
S1PR2	1	0	1	1	1011
S1PR3	0	1	1	1	0111
S1PR5	0	1	1	0	0110
SSTR1	0	1	0	0	0100
SSTR2	0	1	0	1	0101
SSTR3	0	1	0	0	0100
SSTR4	0	1	0	0	0100
SSTR5	0	1	0	0	0100
TBXA2R	0	0	0	1	0001
TRHR	0	0	0	1	0001
UTS2R	0	0	0	1	0001
AVPR1A	0	1	0	1	0101
AVPR1B	0	0	0	1	0001
AVPR2	1	0	0	1	1001
VIPR1	1	1	0	1	1101
